t_ns,x,y,z,deviation_m
1780651956542546772,0.3971031013669595,0.010788587816828458,0.28407169640962693,0.00022792893692783313
1780651956552751059,0.39710354704401124,0.010629932644669323,0.2843690966276354,0.0001998025857007992
1780651956563153247,0.3971034849622474,0.010494580991143688,0.2846212019249349,0.00017515909988208972
1780651956574013219,0.3971038570427826,0.010343426427747375,0.2849176896291134,0.00015357737623113943
1780651956585167125,0.3971037369398122,0.010214655233307411,0.28516898008032776,0.00013466532018995085
1780651956595338914,0.39710328298436715,0.010083501983984628,0.28542512637498063,0.00011547016962991319
1780651956605896681,0.39710334796166274,0.009956403820262812,0.28568520306021145,0.00010159298733526843
1780651956615926607,0.3971037378450495,0.00981429161282224,0.2859836450294058,8.914028594306193e-05
1780651956625893097,0.3971036407816238,0.009693240529264902,0.28623722142364594,7.825645038159248e-05
1780651956636814116,0.3971039863981349,0.00955464324004067,0.2865349374214818,6.878103926020761e-05
1780651956646363976,0.39710384462201,0.009436876828994703,0.2867873093578171,6.045807286682256e-05
1780651956656480119,0.3971041532976849,0.009301135209722814,0.28708403516581266,5.325846158681485e-05
1780651956668125087,0.39710398196396285,0.00918587469634076,0.28733553079275564,4.69159408000569e-05
1780651956679792772,0.3971042659817185,0.009052328906118956,0.2876314902114909,4.148562384532354e-05
1780651956689377700,0.3971040748997619,0.008938993393282212,0.2878823130015237,3.667598495543641e-05
1780651958700405897,0.39486993432839607,-0.005779804193191712,0.2777256952725374,0.0022230657557214947
1780651958711617180,0.3951449158138208,-0.005779769529310981,0.27772539548372344,0.0019480842948307792
1780651958721590916,0.39538668217865813,-0.005779653694355395,0.2777248450366421,0.0017063179535747003
1780651958732145177,0.39559821392608857,-0.005779483926471589,0.2777241333543794,0.001494786228432305
1780651958741905077,0.39578384265285976,-0.005799257738201523,0.27780322599275864,0.0013091575238996299
1780651958752494057,0.3959467911157395,-0.005834262211753365,0.27794321036053243,0.0011462090910035372
1780651958761990265,0.396089272231249,-0.005862896652500789,0.27805775967850305,0.001003728002923338
1780651958772336229,0.39621451659251977,-0.005908202888365452,0.27823892381889587,0.0008784836866715742
1780651958782466603,0.3963239400983542,-0.005945589561134855,0.278388469054812,0.0007690602208825744
1780651958792787666,0.3964202448987278,-0.005998616136887458,0.2786004789923864,0.0006727554909576026
1780651958803627783,0.39650429169866147,-0.006042769447872964,0.27877707263186374,0.0005887087525247452
1780651958814446358,0.3965783753103749,-0.0061017375226963474,0.2790128173640597,0.000514625250511941
1780651958825309033,0.39664293199952466,-0.006151099159291101,0.2792102298024942,0.000450068655855657
1780651958837135148,0.39670818235774813,-0.006201474815009558,0.27941175251325684,0.00038481839906604934
1780651958845257065,0.39675584886051685,-0.006257971156013627,0.27963764311480144,0.00033715205610537096
1780651958855414886,0.39680505698050283,-0.006313793582656123,0.27986092673965535,0.0002879440967964102
1780651958865493037,0.39684107795870677,-0.006374293588754951,0.2801028050005652,0.000251923366693846
1780651958875877734,0.3968738684351932,-0.006446018373194903,0.2803894875235916,0.00021913329075413175
1780651958886597380,0.39690208768816704,-0.006506737362460713,0.2806322853588071,0.00019091438015090198
